,Question,Answer,explanationifFalse,AnswerShort
46,"Henri Pirenne (Histoire de Belgique, 1900-1930) legt net als romantische historici zoals Michelet of Macaulay in respectievelijk Frankrijk en Engeland, de klemtoon op de romantische Belgische volksziel en de anonieme massa om het ontstaan van België te verklaren.
","[ p. 263-265 ]
","De politieke overheden in die nieuwe staten, maar ook in de oudere naties, moedigden via het inrichten van leerstoelen voor vaderlandse geschiedenis een vorm van geschiedschrijving aan, waarin de nationale gemeenschap en de nationale helden werden opgehemeld. In deze context passen ok de vele romantische werken, zoals dat van de Franse historicus Jules Michelet. In zijn ‘Histoire de France’ wil hij een ‘totale geschiedenis’ schrijven waarin de nationale staat gelijkgeschakeld werd met begrippen als het volk en de volksziel. In zijn ‘Histoire de Belgique’ bouwt de Gentse hoogleraar Henri Pirenne slechts gedeeltelijk verder op deze traditie, door haar tendens om de realiteit België van 1830 zo ver mogelijk in het verleden terug te projecteren. In zijn opvatting start de ‘Belgische eenmaking’ vanuit het onbewust naar elkaar toegroeien van middeleeuwse vorstendommen in wat later België wordt, en vanuit het bewuste politieke eenmakingsproces dat de Bourgondische hertogen vanaf 1834 opstarten. [ p. 297 ] Ook romantici, zoals Jules Michelet en Thomas B. Macaulay hemelden de staten waarin ze leefde, respectievelijk et 19e eeuwse Frankrijk en Engeland op.
",f
47,"Aan de hand van paleografische kenmerken kan men ongedateerde handschriften bij benadering met een gemiddelde nauwkeurigheid van 20 tot 40 jaar dateren.
","[ p. 78-79 ]
","Een functie van de paleografie is het dateren en lokaliseren van ongedateerde teksten door deze te vergelijken met gedateerde schriftstukken. In werkelijkheid is dit dateren altijd benaderend, op 20 à 40 jaar nauwkeurig, omdat een scribent het in zijn jeugd aangeleerde schrifttype doorgaans onveranderd hanteert gedurende zijn hele actieve leven.
",f
48,"Nog steeds volgens Vansina is het afdoende om de mondelinge overleveringen te toetsen aan interne testen van tekstkritische aard (bijvoorbeeld: is de mondelinge getuigenis conform aan de taalkundige, stilistische en juridische normen van tijd en milieu waaruit ze beweert te stammen).
","[ p. 23-24 ]
","Mondelinge communicatie betekent allerminst willekeur en anarchie, ze kan integendeel een complex sociaal-politiek verkeer impliceren. Doorgaans hechtte men slechts waarde aan een mondelinge getuigenis indien het bevestigd werd door andere gegevens. Vansina poneerde dat de orale traditie ook als enige traditie betrouwbaar kan zijn indien men ze aan een aantal tests onderwerpt. Die tests zijn deels extern en deels intern.  
",f
49,"De Verlichting is het moment voor ongecomplexeerd optimistische cyclus-theorieën die het geloof in de collectieve vooruitgang weerspiegelen: J.B. Vico, Montesquieu, E. Gibbon.
","[ p. 289 ]
","De Verlichting van de 18de eeuw heeft nog een ‟moderne‟ dimensie aan de geschiedschrijving toegevoegd, namelijk het kosmopolitisme.  De nieuwe confrontatie leidde in de Verlichting tot een optimistisch geloof in de positieve creativiteit van het individu, en tot het vervangen van de christelijke voorzienigheid als determinerende factor door de rede en de natuurwetten. Deze vooruitgangsidee werd het best vertolkt door Vico. Ze neemt de vorm aan van een cyclische beweging waarbij alle culturen drie fasen doorlopen: de theocratische, de heroïsche en de rationele. Montesquieu herneemt in zijn analyse van de beschavingen in de wereld de meer pessimistische cyclus-theorie van Polybius. Hij bewondert de opgang van de Romeinse beschaving, maar realiseert zich tevens de kwetsbaarheid ervan. Deze idee zal worden hernomen door Edward Gibbon. Hij verklaart de val van Rome als het resultaat van een botsing van twee beschavingen, Rome en het christendom, waarbij het christendom, in samenwerking met de heidense ‘barbaren’, de Romeinse beschaving heeft ondermijnd.
",f
50,"In Protestantse gemeenschappen in de Cévennes (Zuid-Frankrijk) heeft de herinnering aan de affaire Dreyfus de orale traditie over de confiscatie ten tijde van de Franse Revolutie gecontamineerd, in katholieke dorpen gebeurde hetzelfde met de herinnering aan de ‘dragonnades’ van de 17e eeuw.
","[]
","leeg
",f
51,"Ego-documenten bevatten enkel ‘Dichtung’ en geen ‘Wahrheit’.
","[ p. 5 ]
","De ‘Dichtung’ is door de auteur van het egodocument ten dele als ‘Dichtung’ ervaren, maar ten dele ook als ‘Wahrheit’, weliswaar zijn of haar waarheid. Deze ‘Dichtung-Wahrheit’ is hoe dan ook een historische waarheid, zij het een andere dan die van de ‘harde feiten’.
",f
52,"Het ‘argumentum ex silentio’ (uit zwijgen of de stilte van de bron een argument halen) is alleen maar toepasbaar indien de zwijgende auteur in staat was het verzwegen feit te weten.
","[ p. 145 ]
","Er zijn voorwaarden verbonden aan het hanteren van het ‘argumentum ex silentio’. Het is slechts geldig indien de zwijgende auteur in staat was het feit te kennen en indien hij de intentie had alle elementen op te sommen uit de klasse van de gebeurtenissen waartoe het verzwegen feit behoort en indien hij niet materieel of moreel zo geremd was dat hij het niet kon meedelen.
",f
53,"Bij de natuurwetenschappelijke dateringsmethodes die berusten op het principe dat de kwaliteit van de materie volgens een vast chronologisch verloop wijzigt, behoren volgende methodes: de koolstof-14, de kalium-argon, de thermoluminescentie, de analyse van aminozuren bij ooit levende wezens, de dendrochronologie en de ‘fission track dating’.
","[ p. 88-91 ]
","De dendrochronologie is geen natuurwetenschappelijke dateringsmethode op basis van het chronologisch verloop van de kwaliteit van de materie.
",f
54,"Arnold Toynbee ziet doorheen de geschiedenis een onafwendbaar proces van teloorgang gebeuren met de aftakeling van het Britse koloniale imperium voor ogen. Voor hem is er geen uitweg mogelijk, alle culturen doorlopen dezelfde fatale cyclus.
","[ p. 272 ]
","De meest ambitieuze cyclus-theorie werd ontworpen door de Engelse historicus Arnold Toynbee in zijn ‘A study of History’. Ook hij schreef onder de indruk van de teloorgang van het Brits koloniaal imperium en in het besef van de opkomst van de VS en de Sovjet-Unie. Toynbee meende dat er niet één continue, maar vele parallelle beschavingen bestaan of bestonden, die elk van hen een analoge evolutie doormaakt. Die evolutie zou volgens hem telkens vier stadia kennen: 1. de natuurlijke omgeving vormt voor de primitieve gemeenschap een uitdaging, waarop ze al of niet kan reageren met een response. Is de uitdaging niet te klein of te groot, dan wordt de primitieve groep een beschaving. 2. De groei. De actie verplaatst zich van het stoffelijke naar het geestelijke. 3. de ineenstorting door gebrek aan creatief vermogen. 4. stadium van ontbinding. Het positieve van Toynbees visie tegenover Spengler is dat hij de beschavingen niet ziet als levende organen die moeten verdwijnen. Toynbee gelooft niet  in dat pseudo-biologisch proces. Volgens hem zal de westerse beschaving standhouden, mits ze positief reageert op de uitdagingen vanuit de christelijke godsdienst.
",f
55,"J.B. Vico (18e eeuw) stelt dat elke cultuur dezelfde fazen doorloopt: kindsheid, jeugd, mannenjaren en rijpheid.
","[ p. 274 ]
","Er zijn overigens ook cyclus-theorieën die een optimistische noot laten horen. Zo is dat bij Vico’s theorie die wel aan het determinisme vasthoudt, maar stelt dat elk volk drie fasen doorloopt, namelijk die van goden, die van helden, en die van mensen, en dat in de laatste fase de wijsheid  van de rede voor iedereen is weggelegd.
",f
56,"Simon Schama bestudeerde in ‘the modern world system’ het kapitalisme als een grootschalig sociaal wereldsysteem, gegrondvest op een genadeloos uitbuiten van marginale groepen en vrouwen.
"," [ p. 218]
","In zijn driedelig synthese werk ‘The Modern World System’ verklaart Wallerstein de evolutie van het kapitalisme door de uitbuiting door de industrielanden van de onderontwikkelde perifere gebieden.
",f
57,"Bij een contemporain falsum speelt het schrift geen rol in de ontmaskering, men kan slechts rekenen op specifieke trekken waardoor de grote scriptoria zich van elkaar onderscheiden en op diplomatieke kenmerken.
","[ p. 79 ]
","De meeste falsarissen situeren hun pseudo-origineel enkele decennia terug in het verleden, en vallen dan door de mand doordat hun werkstuk de grafische kenmerken vertoont van een latere tijd dan de datum die onderaan het falsum prijkt. De falsaris kan uiteraard sluwer te werk gaan door zijn falsum de vorm te geven van een kopie, waarbij geen overeenstemming tussen schriftbeeld en voorgewende datum is vereist, of nog erger, hij kan een vroeger schrift nabootsen of een contemporain falsum maken.  Ontmaskering heeft dan enkel kans door onhandigheid bij de imitatie, of door het niet eerbiedigen door de bedrieger van minder evidente trekjes van de kanselarij of het milieu waaruit de tekst beweert te stammen.
",f
58,"De archeoloog Lewis Binford is verantwoordelijk voor de deterministische opvatting dat prehistorische culturen zich ontwikkelen (en verplaatsen, vandaar dat men van ‘diffusionisme’ spreekt) van een meer ontwikkelde in de richting van minder ontwikkelde beschavingen. De megalithische monumenten uit de Middellandse Zee ruimte zijn dan ook, logischerwijs,  geraffineerder dan de megalithen in de Keltische ruimte (Bretagne, Engeland).
","[ p. 83-84 ]
","Het diffusionisme hanteert een deterministische visie op het verloop van de prehistorie: culturen en innovaties verspreiden zich via contacten, migraties, technische uitwisseling, en dat in de richting van superieure naar minder ontwikkelde beschavingen. Nog steeds overheerste de idee dat de Europese beschaving haar oorsprong vond in het Nabije Oosten, zoals de verspreiding van bv. metallurgie aantoonde: de grote megalithische monumenten uit de late steentijd kenden hun meest perfecte vorm in het oostelijk Middellandse Zeebekken, in westelijk Europa waren ze veel minder geraffineerd. Na WO II zal het diffusionisme in vraag worden gesteld, al moet het niet helemaal verworpen worden. Vooral uit de archeologie zoals die in de Verenigde Staten werd beoefend (geen invloed vanuit de klassieke beschavingen rond de Middellandse) sterk geïnspireerd door de antropologie, zou de New archaeology tot ontwikkeling komen. Sleutelfiguur voor deze vernieuwende strekking was de Amerikaan Lewis Binford.
",f
59,"Voor socioloog Ralf Dahrendorf (Class and class conflict in industrial society, 1959) geldt het marxistisch axioma nog steeds onverminderd: de klassenstrijd is de motor van de geschiedenis.
","[ p. 282-283 ]
","Een niet-marxistische conflictmodel is dat van de liberale socioloog Ralf Dahrendorf. Volgens hem hebben de botsende groepen niet enkel economisch maar ook psychologisch tegengestelde belangen. Dahrendorf sluit met zijn opvatting eerder aan bij Weber dan bij Marx. Hij vertrekt van de vaststelling dat het economisch leven ruim honderd jaar na Marx zodanig is veranderd dat bezit als basis van tegenstelling vervangen is door gezag of autoriteit.
",f
60,"Edward Gibbon (18de eeuw) stelt dat de val van het Romeinse rijk veroorzaakt werd door de mislukte politiek van enkele toonaangevende individuen. Zijn invloedrijk werk is het beginpunt van een overwaarderen van de rol van de dominante persoonlijkheid, wat tijdens de er op volgende periode van de romantiek de overheersende opvatting wordt.
","[ p. 289 ]
","Edward Gibbon de val van Rome meer verklaard als een kortsluiting tussen beschavingen en groepen dan als een bewust door politici geschreven scenario. De romantiek zal deze invalshoek uitwerken met de idee van de „Volksgeist‟, een soort collectief geheugen en cultuur dat elk volk als geheel in zich heeft en dat tot handelen drijft, en waarin de idee van de nationale zelfstandigheid centraal staat.
",f
61,"Voor de Duitse socioloog Jürgen Habermas staat het begrip ‘habitus’ centraal: het zijn handelingsschema’s waarmee mensen reageren op situaties binnen maatschappelijk aanvaarde gedragspatronen.
","[ p. 280-281 ]
","Een centrale notie in het oeuvre van Bourdieu is het begrip ‘habitus’: door hun opvoeding doen mensen schema’s op, ingesteldheden die hen toelaten op verschillende situaties te reageren en dit te doen binnen maatschappelijk aanvaarde gedragspatronen. Naarmate deze schema’s van waarnemen en handelen geïnterioriseerd worden, spreekt men van een habitus.
",f
62,"Maatschappelijk engagement door historici is van alle tijden: reeds aan het einde van de 19e eeuw was de Duitser Ludwig Quidde slachtoffer van broodroof nadat hij in een studie over de Romeinse keizer Caligula, eigenlijk de Duitse keizer Wilhelm II gehekeld had.
",N/A,N/A,t
63,"De rol van dominante persoonlijkheden in de geschiedenis kan gemeten worden aan de hand van: intrinsieke kwaliteiten van het voorgestelde ideeëngoed, demagogische kwaliteiten van de betrokkenen, technisch-materiële omstandigheden van de periode, geschiktheid van de voedingsbodem.
",N/A,N/A,t
64,"Leopold van Ranke, auteur van de stelling ‘Was nicht in den Akten hat nicht gelebt’ is de vertegenwoordiger bij uitstek van het pure positivisme der 19e eeuw.
",N/A,N/A,t
65,"E.E. Hagen nuanceert de Weber-thesis (uit diens ‘Wirtschaft und Gesellschaft’) door te wijzen op de factor ‘behoefte aan achievement’ bij minderheidsgroepen. Kapitalisten zijn te zoeken bij kinderen van deze minderheidsgroepen.
",N/A,N/A,t
66,"Shannon en Weaver stellen dat verstoring (noise) zich op pragmatische, technische of semantisch-semiotische basis kan voordoen.
",N/A,N/A,t
67,"Max Weber suggereert in zijn ‘Wirtschaft und Gesellschaft’ (1922) een samenhang tussen spaarzin, het verwervingselement in het 16e-eeuwse kapitalisme en protestantse mentaliteit.
",N/A,N/A,t
68,"Johan Huizinga hanteerde als ene der eersten in zijn ‘Herfsttij der middeleeuwen’ (1919) de intuïtieve methode met succes. De methode bestaat er in dat de historicus als ene begrijpend tijdgenoot zich verplaatst in de huid van de acteurs van toen.
",N/A,N/A,t
69,"Volgens Vansina is de historische waarde en accuratesse van mondelinge tradities die berusten op het geheugen van opeenvolgende tradities bij primitieve volkeren even groot als die van de West-Europese geschreven bronnen.
",N/A,N/A,t
70,"In de Europese samenleving werd tot in de 10e-11e eeuw het sociale leven geregeld door mondelinge overgeleverde tradities en rechtshandelingen.
",N/A,N/A,t
71,"Perrenoud ontwikkelde in 1974 een demografisch weberiaans model, toen hij een verband vooropstelde tussen protestantse opvoeding en moraal enerzijds, malthusiaanse praktijken (namelijk het inperken van de menselijke vruchtbaarheid) anderzijds.
",N/A,N/A,t
72,"Het feit dat in noordwest-Europa de overgang van feodaliteit naar kapitalisme zich het eerst doorzette heeft vele, marxistisch geïnspireerde historici na WO II aan het denken gezet, onder hen M.Dobb, P. Sweezy, R. Hilton. Ze deden dit in het op de Annales geïnspireerde tijdschrift ‘Past and Present’.
",N/A,N/A,t
73,"De Franse filosoof Michel Foucault is een poststructuralist: hij vroeg aandacht voor het discours achter de historische werkelijkheid: ‘feiten’ bestaan niet zonder de gedachtewereld die een feit denkbaar maakt. Noties als ‘depressie’ worden gecreëerd door de psychoanalytische theorie.
",N/A,N/A,t
74,"Het begrip ‘auteur’ vergt nuancering. Men onderscheidt onder meer de intellectuele en juridische auteurs, beide kunnen ook samenvallen. Indien bijvoorbeeld de bevoegde oorkonder zelf zijn kladversies bedenkt en schrijft.
",N/A,N/A,t
75,"De mechanische relatie tussen verschillende tekstvarianten wordt in de war gestuurd door de kritische bedenking dat verwantschap tussen afschriften ook het resultaat kan zijn van een gemeenschappelijk taalgevoel en van een gelijkende mentaliteit bij contemporaine kopiisten die onafhankelijk van elkaar het model in dezelfde zin aanpassen.
",N/A,N/A,t
76,"J. Bédier heeft vastgesteld dat de methode Lachmann tot een machanistisch vaststellen van een tweetak voert. De meeste stambomen die waren opgesteld voor middeleeuwse Franse teksten (78 op 80) vertoonden de formule van de dubbele tak (twee archetypes). Ze waren volgens hem het resultaat van een constructie van de geest eerder dan een afspiegeling van de realiteit.
",N/A,N/A,t
77,"Vanaf het einde van de 19e eeuw is het respect voor het herkomstbeginsel bij het classeren van archivalia veralgemeend.
",N/A,N/A,t
78,"Technologische vernieuwing is een dynamische factor in de wereldgeschiedenis. Innovaties van buiten uit hebben bepaalde achterlijke culturen (Europa in de 12e eeuw) tot een hogere graad van ontwikkeling gebracht. Volgens A. Pacey (1990) gebeurde dit door contacten met China en de Islamwereld.
",N/A,N/A,t
79,"Mondelinge overleveringen informeren niet exclusief over een nabij verleden. De tegenovergestelde visie gaat uit van de opvatting dat dit evident zo is, omdat de dragers van de informatie levende personen zijn.
",N/A,N/A,t
80,"Het onderscheid tussen bron en historisch werk is niet altijd duidelijk te trekken. Een voorbeeld hiervan is de ‘Kerkgeschiedenis’ van Eusebius van Caesarea (ca. 265- ca.340).
",N/A,N/A,t
81,"De komst van de nieuwe media (film, radio, televisie) betekent van bij de aanvang een gevoelige toename van de hoeveelheid bronnenmateriaal, maar niet noodzakelijk van de bewaard gebleven en ter beschikking staande informatie.
",N/A,N/A,t
82,"Natalie Davis’ (The return of Martin Guerre, 1983) is een staaltje van microstoria: via een concrete casus – een Franse boer uit de 16e eeuw die na jarenlange oorlogvoering in zijn dorp terugkeert, met alle spanningen vandien – de toenmalige leef- en denkwereld reconstrueren.
",N/A,N/A,t
83,"‘Les méchants faits détruisent les plus belles théories’ (uitlating van Marc Bloch): een waarschuwing tegen het te weinig ontleden van theoretische concepten aan de sociale wetenschappen en een te slaafs volgen van het feitelijk verloop van de geschiedenis.
",N/A,N/A,t
84,"E. Labrousse bracht in 1944 door statistische bronnen aan te wenden een nieuwe kijk op een reeds lang bestudeerd verschijnsel, de Franse Revolutie. Naast ideologische en politieke factoren wees hij ook op de impact van conjunctuurbewegingen.
",N/A,N/A,t
85,"Bij de uitgave van een tekst, waarvan het origineel niet voorhanden is, kiest de uitgever voor de beste kopie (B), op sommige plaatsen verkiest hij toch de versie van C of D. hij voert dan een emendatie uit.
",N/A,N/A,t
86,"De methode van de analogische inductie, een der redeneringen in het positieve, berust op de opvatting dat de mens in analoge omstandigheden identiek reageert.
",N/A,N/A,t
87,"Een archetype (kopie rechtstreeks naar het origineel) is altijd beter dan een afschrift van een afschrift.
",N/A,N/A,t
88,"De techniek om een tekst paleografisch te dateren bestaat er in hem te situeren op het chronologisch snijpunt van de termini van de verschillende kenmerken: graad van cursiviteit, ductus, modulus, verkortingen, versieringen. Deze datering is evenwel onvermijdelijk benaderen.
",N/A,N/A,t
89,"Fictie en realiteit staan in een dialectische relatie tot elkaar: romans en films provoceren imitatiegedrag.
",N/A,N/A,t
90,"Volgens A.W. Crosby zijn menselijke migraties de oorzaak van biologische uitwisseling op lange afstand. Zo grijpt na 1400 een biologische globalisatie plaats: de beruchte ‘Columbian exchange’, de verovering van pre-columbiaans Amerika is eerder het gevolg van het verspreiden door de Spaanse veroveraars van epidemische ziekten onder een bevolking die niet immuun was voor deze infecties, dan van militair-technisch overwicht van Cortes en Pizarro.
",N/A,N/A,t
91,"Inzake interpretatie en hermeneutiek poneert W. Dray dat algemene wetten niet alles verklaren. Essentieel is volgens hem dat de onderzoeker kan uitleggen waarom de handelingen uit het standpunt van het historisch personage en vanuit diens doelstellingen rationeel waren.
",N/A,N/A,t
92,"Het decoderen van filmtaal heeft een nieuw arsenaal van communicatie-conventies opgeleverd, doe op hun beurt andere communicatievormen hebben beïnvloed, we lezen nu romans als waren het films. P. Wollen wees er in zijn ‘Signs and Meaning in Cinema’ (1969) op dat de film ook eigen indexen kent, tekens die naar een moeilijk te herkennen realiteit verwijzen.
",N/A,N/A,t
93,"Oorkonden, rekeningen, verslagen van officiële bijeenkomsten, horen thuis in een archief, narratieve bronnen van geschiedschrijvers of fictie in bibliotheken.
",N/A,N/A,t
94,"Aan de hand van paleografische kenmerken kan men ongedateerde handschriften bij benadering met een gemiddelde nauwkeurigheid van 20 tot 40 jaar dateren. Reden hiervoor is dat iemand het in zijn/haar jeugd aangeleerd schriftbeeld zijn/haar hele leven door hanteert.
",N/A,N/A,t
95,"G. Pasquali heeft ook een bezwaar tegen Lachmann naar voren gebracht: hij ziet meer heil in de ‘lectio difficilior’ (letterlijk: een moeilijker lezing): een variant die banaler is dan een andere, dus gemakkelijker te lezen, is normaal afgeleid van die andere. De voorkeur gaat uit naar de moeilijke variant/lezing die meer kans heeft dichter bij het origineel te staan.
",N/A,N/A,t
96,"Het gebruik van Pruisisch Blauw in een aan Frans Hals (+1666) toegeschreven schilderij kan een materieel element tot ontmaskering van een falsum zijn, vermits het pas in 1703 is ontdekt en het pas vanaf 1720 door kunstenaars gebruikt werd. Het is evenwel geen sluitend bewijs dat de echtheid van het paneel definitief weerlegt, vermits het in een latere 18e eeuwse retouche kan gebruikt zijn.
",N/A,N/A,t
97,"In het geval van het tegen elkaar staan van twee even bevoegde getuigen wordt de impasse die is ontstaan door het aanvankelijk ontkennen van de twee hoofdbetrokkenen doorbroken door een ‘hard’ fysisch bewijs, zoals bijvoorbeeld een DNA-test. Daardoor verandert ook de status van de vele getuigenissen van derden, die op zich genomen niet overtuigend zouden zijn geweest.
",N/A,N/A,t
98,"Pirenne poneerde dat elke economische fase haar eigen generatie van ondernemers voortbrengt. Burgerlijke elites vertonen een stereotiep gedragspatroon.
",N/A,N/A,t
99,"Cultuur is in sterke mate aangeleerd en niet erfelijk. Bij de studie van sociaal-culturele verschuivingen in het verleden speelt het sociale milieu een cruciale rol. Auteurs die deze visie hielpen verspreiden onder historici zijn Claude Lévy-Strauss en Clifford Geertz.
",N/A,N/A,t
100,"Bij het redeneren met hypothesen is het essentieel dat de onderzoeker die een hypothese, hoe briljant ook, opstelt, bereid is ze te laten vallen na toetsing aan alle mogelijke aspecten die aan de te onderzoeken zaak kleven.
",N/A,N/A,t
101,"De Islam-historicus Ibn Chaldoen (14e eeuw) ontwierp een cyclische opvatting over de geschiedenis: politiek verval, maar ook geografische factoren en het klimaat behoren tot de verklaringselementen.
",N/A,N/A,t
102,"Onze kennis over mémoires van moderne egodocumenten impliceert dat het leven van Karel de Grote door Einhard(9e eeuw) als ontoereikend moet worden van de hand gewezen, want als unieke bron van de kennis van de feiten niet verifieerbaar.
",N/A,N/A,t
103,"De cyclus-theorieën kregen een forse impuls door de studie van natuurlijke fenomenen. Zo poneerde A. Dauvillier reeds in 1958 een verband tussen het verloop van de geschiedenis en de elfjarige cyclus van zonnevlekken. Een uitloper hiervan biedt E. Le Roy Ladurie die wees op het verband tussen de plukdata van druiven en het verloop van graanprijzen.
",N/A,N/A,t
104,"Auteurs als Muchembled, Burke, Shama vertegenwoordigen de ‘nieuwe cultuurgeschiedenis’, niet langer in de essayistische stijl van Huizinga, maar onder sterke invloed van sociologie en antropologie.
",N/A,N/A,t
105,"Genderstudies beperken zich niet tot de studie van een geslacht, maar gaan in op de seksueel gedetermineerde rollenpatronen van beide geslachten en de sociale constructies rond ‘mannelijkheid’ en ‘vrouwelijkheid’.
",N/A,N/A,t
106,"Een gunstige randvoorwaarde tot het bewaren van middeleeuwse en vroegmoderne privé-archieven is het faillissement van een handelsfirma, deze van Willem Ruweel uit Brugge ca. 1370 bijvoorbeeld.
",N/A,N/A,t
107,"De noodzaak om de eigen onderdanen te controleren en de eigen rechten ook in de toekomst te laten gelden, heeft er toe geleid dat de Staat een efficiënte sociale boekhouding is gaan aanleggen. Staatscentralisten zoals Filips II August en Innocentius III uit de 12e eeuw, hebben niet toevallig als eersten kanselarijregisters met uitgaande oorkonden laten aanleggen.
",N/A,N/A,t
108,"De kennis over de Griekse geschiedenis in de periode voor Homeros is sterk toegenomen dankzij de ontcijfering, in 1952 van het lineair-B schrift door Michaël Ventris.
",N/A,N/A,t
109,"Een vidimus is een rechtsgeldige kopie, geauthentificeerd door een bevoegde instantie en ingekapseld in een raamtekst die vaak begon met de formule ‘vidimus’ (wij hebben gezien).
",N/A,N/A,t
110,"Een kopie die rechtstreeks naar het origineel is gemaakt noemt een ‘archetype’, ze is in principe beter dan een afschrift van een afschrift en staat, bij ontstentenis van ene origineel, bovenaan in een ‘stemma codicum’ (stamboom).
",N/A,N/A,t
111,"De conjunctuur is een aanpassing van de basistekst die door de gebruiker of uitgever wordt aangebracht op grond van gissen en van de hypothese van wat als een evidente fout moet worden beschouwd. Fout: conjectuur is aanpassing o.b.v. een gok, conjunctuur is een economische verandering op korte termijn.
",N/A,N/A,t
112,"‘Provocatie van de site’ betekent een interview afnemen op de plek waar de getuige een emotioneel geladen gebeurtenis meemaakte. De vriendinnen van Anne Frank bijvoorbeeld in een reportage opvoeren op de plek waar het kamp van Bergen-Belsen stond.
",N/A,N/A,t
113,"Een handig vervalser knutselt ene valse oorkonde in elkaar door niet het hele stuk te vervalsen maar door de inhoud plaatselijk aan te passen, dit heet een interpolatie.
",N/A,N/A,t
114,"Een falsum wordt ontmaskerd door testen ten gunste en ten ongunste uit te voeren. Dit steunt op het postulaat dat in een zelfde generatie een dusdanig dwingende gelijkenis van opvattingen en techniek heerst (inzake schrijfstijl, diplomatische gebruiken) dat een individu niet van deze norm durft af te wijken.
",N/A,N/A,t
115,"Volgens Bernheim en Langlois-Seignobos is een bron die betrouwbaar is op plaatsen waar we haar via andere bronnen kunnen controleren, ook op andere plaatsen waar controle niet mogelijk is, betrouwbaar.
",N/A,N/A,t
116,"De klassieke regels van Bernheim en Langlois-Seignobos worden door de consequent volgehouden leugenstrategie in het geval van ‘Watergate’ buiten spel gezet, onder meer doordat een meerderheid van topmedewerkers van Nixon – bronnen met het meeste gezag – bleef liegen in dezelfde richting.
",N/A,N/A,t
117,"In de klassieke herstellingskritiek geeft men voorkeur aan de beste kopie (B), soms kiest men voor C of D, een proces dat emendatie noemt. De keuze wordt ingegeven door de kwaliteit van de variant, niet door het pure gegeven dat de variant in de meeste kopieën voorkomt.
",N/A,N/A,t
118,"De rol van de massamedia in het ontstaan van opinies bij het brede publiek, steunt op de noodzaak om de boodschap tot een intrinsiek deel van de cognitieve structuur van de ontvanger te maken.
",N/A,N/A,t
119,"Volgens Silbermann wordt de mentaliteit gevormd door de media, persoonlijke factoren, en institutionele factoren (onderwijs, opvoeding). Vandaar dat de studie van schoolboeken van groot belang is voor het onderzoek van normen en sociale opvattingen uit het verleden.
",N/A,N/A,t
120,"Fictie en realiteit staan in een dialectische relatie tot elkaar: romans en films lokken imitatiegedrag uit. Ze zijn dus niet zomaar als spiegel van voorbije waarden te interpreteren.
",N/A,N/A,t
121,"Pas na Wereldoorlog II overheerst het structurele paradigma in de zogenaamde tweede fase van de Annales, met F. Braudel (La méditerranée et le monde méditerranéen) als sleutelfiguur. In deze lijn liggen vele studies over demografie, koopkracht, kwantitatieve sociale geschiedenis.
",N/A,N/A,t
122,"De invloed van de Annales in de Angelsaksische wereld laat zich vooral voelen in het tijdschrift Past and Present. Vooral traditionele marxistische thema’s zoals de overgang van feodalisme naar kapitalisme kwamen daarin aan bod.
",N/A,N/A,t
123,"De derde school van de Annales bouwde een sociale geschiedenis uit die meer aandacht schonk aan de mentaliteiten (auteurs als Ariès, Vovelle, Duby, Le Roy Ladurie).
",N/A,N/A,t
124,"Bij het opsporen van oorzaken kan de geschiedenis niet op experimenten een beroep doen en slechts in beperkte mate op deductie. Inductie (algemene uitspraken op basis van een zo groot mogelijk aantal individuele gevallen of waarnemingen van historische feiten) is dan aangewezen.
",N/A,N/A,t
125,"Bij de vergelijkende studie van revolutie is vaak geredeneerd naar analogie met ene individueel ziekteprecies (C. Brinton, revoluties doorlopen een fatale kringloop) of met een proces van machtswisseling tussen verschillende elites (V. Pareto).
",N/A,N/A,t
126,"Extreem gesteld ligt de oorzaak van een historische gebeurtenis in alle voorafgaande gebeurtenissen. Het is de taak van de historicus de essentiële gebeurtenissen af te zonderen van de bijkomstige.
",N/A,N/A,t
127,"J.B. Vico reageert als een der eersten tegen het enge nationalisme uit de 16e-17e eeuw. Volgens hem doorloopt elke cultuur drie fazen: de theocratische, de heroïsche en de rationele.
",N/A,N/A,t
128,"Een teleologische visie op de geschiedenis houdt in dat de geschiedenis verloopt volgens een vooraf vastgelegd plan naar een vaststaand eindpunt. De christelijke eschatologie, de marxistische theorie en de nationalistische geschiedschrijving zijn voorbeelden van een dergelijke visie.
",N/A,N/A,t
129,"Twee gebeurtenissen hebben in de geschiedschrijving van de Nederlanden een stroomversnelling op gang gebracht in de nationale geschiedschrijving: de Scheiding aan het einde van de 16e eeuw, de nationale revolte in de 19e eeuw (onafhankelijkheid van België).
",N/A,N/A,t
130,"Het optreden van de kapitalistische zakenman blijkt volgens A. Fanfani ook op psychologisch vlak: de kapitalist is irrationeel omdat hij blind blijft voor de gevolgen van zijn streven naar winstmaximalisatie voor zijn privé-leven, voor permanente zorgen en maagzweren.
",N/A,N/A,t
131,"Geschiedenis diende in een andere context om een rationalistische maatschappijvisie te onderbouwen. N. Machiavelli verlegt in zijn ‘de vorst’ (vroege 16e eeuw) de klemtoon van God naar de cynische politicus.
",N/A,N/A,t
